Date;Distributeur;CB;Total HT (5.5%);Total TVA (5.5%);Total HT (6%);Total TVA (6%);Total HT (10%);Total TVA (10%);Total HT;Total TTC
06/07/2021;[Sélection];242.00;0.00;0.00;228.34;13.66;0.00;0.00;228.34;242.00
07/07/2021;We Love Pizza 2 - Haine Saint Paul;409.60;0.00;0.00;386.50;23.10;0.00;0.00;386.50;409.60
07/07/2021;We Love Pizza Gembloux;162.60;0.00;0.00;153.42;9.18;0.00;0.00;153.42;162.60
07/07/2021;[Sélection];572.20;0.00;0.00;539.92;32.28;0.00;0.00;539.92;572.20
08/07/2021;We Love Pizza 2 - Haine Saint Paul;200.50;0.00;0.00;189.17;11.33;0.00;0.00;189.17;200.50
08/07/2021;We Love Pizza Gembloux;87.00;0.00;0.00;82.09;4.91;0.00;0.00;82.09;87.00
08/07/2021;[Sélection];287.50;0.00;0.00;271.26;16.24;0.00;0.00;271.26;287.50
09/07/2021;We Love Pizza 2 - Haine Saint Paul;369.20;0.00;0.00;348.37;20.83;0.00;0.00;348.37;369.20
09/07/2021;We Love Pizza Gembloux;177.70;0.00;0.00;167.67;10.03;0.00;0.00;167.67;177.70
09/07/2021;[Sélection];546.90;0.00;0.00;516.04;30.86;0.00;0.00;516.04;546.90
10/07/2021;We Love Pizza 2 - Haine Saint Paul;330.30;0.00;0.00;311.66;18.64;0.00;0.00;311.66;330.30
10/07/2021;We Love Pizza Gembloux;159.90;0.00;0.00;136.71;8.19;0.00;0.00;136.71;159.90
10/07/2021;[Sélection];490.20;0.00;0.00;448.37;26.83;0.00;0.00;448.37;490.20
11/07/2021;We Love Pizza 2 - Haine Saint Paul;397.20;0.00;0.00;374.79;22.41;0.00;0.00;374.79;397.20
11/07/2021;We Love Pizza Gembloux;138.30;0.00;0.00;130.48;7.82;0.00;0.00;130.48;138.30
11/07/2021;[Sélection];535.50;0.00;0.00;505.27;30.23;0.00;0.00;505.27;535.50
12/07/2021;We Love Pizza 2 - Haine Saint Paul;563.90;0.00;0.00;532.09;31.81;0.00;0.00;532.09;563.90
12/07/2021;We Love Pizza Gembloux;229.20;0.00;0.00;216.24;12.96;0.00;0.00;216.24;229.20
12/07/2021;[Sélection];793.10;0.00;0.00;748.33;44.77;0.00;0.00;748.33;793.10
13/07/2021;We Love Pizza 2 - Haine Saint Paul;171.90;0.00;0.00;162.21;9.69;0.00;0.00;162.21;171.90
13/07/2021;We Love Pizza Gembloux;70.70;0.00;0.00;66.71;3.99;0.00;0.00;66.71;70.70
13/07/2021;[Sélection];242.60;0.00;0.00;228.92;13.68;0.00;0.00;228.92;242.60
14/07/2021;We Love Pizza 2 - Haine Saint Paul;152.80;0.00;0.00;144.18;8.62;0.00;0.00;144.18;152.80
14/07/2021;We Love Pizza Gembloux;86.50;0.00;0.00;81.62;4.88;0.00;0.00;81.62;86.50
14/07/2021;[Sélection];239.30;0.00;0.00;225.80;13.50;0.00;0.00;225.80;239.30
15/07/2021;We Love Pizza 2 - Haine Saint Paul;123.30;0.00;0.00;116.35;6.95;0.00;0.00;116.35;123.30
15/07/2021;We Love Pizza Gembloux;78.90;0.00;0.00;74.44;4.46;0.00;0.00;74.44;78.90
15/07/2021;[Sélection];202.20;0.00;0.00;190.79;11.41;0.00;0.00;190.79;202.20
16/07/2021;We Love Pizza 2 - Haine Saint Paul;372.30;0.00;0.00;351.28;21.02;0.00;0.00;351.28;372.30
16/07/2021;We Love Pizza Gembloux;69.00;0.00;0.00;65.10;3.90;0.00;0.00;65.10;69.00
16/07/2021;[Sélection];441.30;0.00;0.00;416.38;24.92;0.00;0.00;416.38;441.30
17/07/2021;We Love Pizza 2 - Haine Saint Paul;406.50;0.00;0.00;383.58;22.92;0.00;0.00;383.58;406.50
17/07/2021;We Love Pizza Gembloux;161.70;0.00;0.00;152.57;9.13;0.00;0.00;152.57;161.70
17/07/2021;[Sélection];568.20;0.00;0.00;536.15;32.05;0.00;0.00;536.15;568.20
18/07/2021;We Love Pizza 2 - Haine Saint Paul;457.10;0.00;0.00;431.28;25.82;0.00;0.00;431.28;457.10
18/07/2021;We Love Pizza Gembloux;231.30;0.00;0.00;218.26;13.04;0.00;0.00;218.26;231.30
18/07/2021;[Sélection];688.40;0.00;0.00;649.54;38.86;0.00;0.00;649.54;688.40
19/07/2021;We Love Pizza 2 - Haine Saint Paul;228.30;0.00;0.00;215.42;12.88;0.00;0.00;215.42;228.30
19/07/2021;We Love Pizza Gembloux;154.70;0.00;0.00;145.96;8.74;0.00;0.00;145.96;154.70
19/07/2021;[Sélection];383.00;0.00;0.00;361.38;21.62;0.00;0.00;361.38;383.00
20/07/2021;We Love Pizza 2 - Haine Saint Paul;176.50;0.00;0.00;166.55;9.95;0.00;0.00;166.55;176.50
20/07/2021;We Love Pizza Gembloux;46.50;0.00;0.00;43.88;2.62;0.00;0.00;43.88;46.50
20/07/2021;[Sélection];223.00;0.00;0.00;210.43;12.57;0.00;0.00;210.43;223.00
21/07/2021;We Love Pizza 2 - Haine Saint Paul;201.30;0.00;0.00;189.94;11.36;0.00;0.00;189.94;201.30
21/07/2021;We Love Pizza Gembloux;140.70;0.00;0.00;132.73;7.97;0.00;0.00;132.73;140.70
21/07/2021;[Sélection];342.00;0.00;0.00;322.67;19.33;0.00;0.00;322.67;342.00
22/07/2021;We Love Pizza 2 - Haine Saint Paul;168.90;0.00;0.00;159.39;9.51;0.00;0.00;159.39;168.90
22/07/2021;We Love Pizza Gembloux;119.90;0.00;0.00;113.14;6.76;0.00;0.00;113.14;119.90
22/07/2021;[Sélection];288.80;0.00;0.00;272.53;16.27;0.00;0.00;272.53;288.80
23/07/2021;We Love Pizza 2 - Haine Saint Paul;289.40;0.00;0.00;273.06;16.34;0.00;0.00;273.06;289.40
23/07/2021;We Love Pizza Gembloux;37.10;0.00;0.00;35.00;2.10;0.00;0.00;35.00;37.10
23/07/2021;[Sélection];326.50;0.00;0.00;308.06;18.44;0.00;0.00;308.06;326.50
24/07/2021;We Love Pizza 2 - Haine Saint Paul;269.80;0.00;0.00;254.57;15.23;0.00;0.00;254.57;269.80
24/07/2021;We Love Pizza Gembloux;64.30;0.00;0.00;60.66;3.64;0.00;0.00;60.66;64.30
24/07/2021;[Sélection];334.10;0.00;0.00;315.23;18.87;0.00;0.00;315.23;334.10
25/07/2021;We Love Pizza 2 - Haine Saint Paul;318.60;0.00;0.00;300.58;18.02;0.00;0.00;300.58;318.60
25/07/2021;We Love Pizza Gembloux;256.00;0.00;0.00;241.53;14.47;0.00;0.00;241.53;256.00
25/07/2021;[Sélection];574.60;0.00;0.00;542.11;32.49;0.00;0.00;542.11;574.60
26/07/2021;We Love Pizza 2 - Haine Saint Paul;354.10;0.00;0.00;334.11;19.99;0.00;0.00;334.11;354.10
